key,enabled,identity,password,username
user-account-administrator-02,true,"UserIdentity{name: '', surname: 'Acme', email: 'administrator@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator', surname: '', email: 'administrator@acme.com'}",administrator2,administrator2
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: ''}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,
user-account-auditor-00,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor0
user-account-auditor-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor1,
user-account-auditor-02,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor3,
user-account-auditor-04,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor4
user-account-auditor-05,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor5,
user-account-auditor-06,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor6
user-account-auditor-07,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor7,
user-account-auditor-08,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor8
user-account-auditor-09,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor9,
user-account-auditor-10,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor10
user-account-auditor-11,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor11,
user-account-auditor-12,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor12
user-account-auditor-13,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor13,
user-account-auditor-14,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor14
user-account-auditor-15,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor15,
user-account-auditor-16,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor16
user-account-auditor-17,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor17,
user-account-auditor-18,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor18
user-account-auditor-19,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor19,
user-account-auditor-20,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,auditor20
user-account-auditor-21,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor21,
user-account-fundraiser-00,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,fundraiser0
user-account-fundraiser-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser1,
user-account-fundraiser-02,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser3,
user-account-fundraiser-04,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,fundraiser4
user-account-fundraiser-05,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser5,
user-account-fundraiser-06,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,fundraiser6
user-account-fundraiser-07,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser7,
user-account-fundraiser-08,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,fundraiser8
user-account-fundraiser-09,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser9,
user-account-fundraiser-10,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",,fundraiser10
user-account-fundraiser-11,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser11,
