key,enabled,identity,password,username
user-account-administrator-02,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator2,administrator2
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-auditor-00,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor0,auditor0
user-account-auditor-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor3,auditor3
user-account-auditor-04,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor4,auditor4
user-account-auditor-05,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor5,auditor5
user-account-auditor-06,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor6,auditor6
user-account-auditor-07,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor7,auditor7
user-account-auditor-08,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor8,auditor8
user-account-auditor-09,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor9,auditor9
user-account-auditor-10,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor10,auditor10
user-account-auditor-11,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor11,auditor11
user-account-auditor-12,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor12,auditor12
user-account-auditor-13,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor13,auditor13
user-account-auditor-14,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor14,auditor14
user-account-auditor-15,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor15,auditor15
user-account-auditor-16,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor16,auditor16
user-account-auditor-17,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor17,auditor17
user-account-auditor-18,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor18,auditor18
user-account-auditor-19,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor19,auditor19
user-account-auditor-20,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor20,auditor20
user-account-auditor-21,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",auditor21,auditor21
user-account-inventor-00,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor0,inventor0
user-account-inventor-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor4,inventor4
user-account-inventor-05,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor5,inventor5
user-account-inventor-06,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor6,inventor6
user-account-inventor-07,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor7,inventor7
user-account-inventor-08,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor8,inventor8
user-account-inventor-09,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor9,inventor9
user-account-inventor-10,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor10,inventor10
user-account-inventor-11,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor11,inventor11
user-account-inventor-12,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor12,inventor12
user-account-inventor-13,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor13,inventor13
user-account-inventor-14,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor14,inventor14
user-account-inventor-15,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor15,inventor15
user-account-inventor-16,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor16,inventor16
user-account-inventor-17,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor17,inventor17
user-account-inventor-18,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor18,inventor18
user-account-inventor-19,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor19,inventor19
user-account-inventor-20,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor20,inventor20
user-account-inventor-21,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",inventor21,inventor21
user-account-fundraiser-00,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser0,fundraiser0
user-account-fundraiser-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser3,fundraiser3
user-account-fundraiser-04,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser4,fundraiser4
user-account-fundraiser-05,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser5,fundraiser5
user-account-fundraiser-06,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser6,fundraiser6
user-account-fundraiser-07,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser7,fundraiser7
user-account-fundraiser-08,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser8,fundraiser8
user-account-fundraiser-09,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser9,fundraiser9
user-account-fundraiser-10,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser10,fundraiser10
user-account-fundraiser-11,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser11,fundraiser11
user-account-fundraiser-12,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser12,fundraiser12
user-account-fundraiser-13,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser13,fundraiser13
user-account-fundraiser-14,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser14,fundraiser14
user-account-fundraiser-15,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser15,fundraiser15
user-account-fundraiser-16,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser16,fundraiser16
user-account-fundraiser-17,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser17,fundraiser17
user-account-fundraiser-18,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser18,fundraiser18
user-account-fundraiser-19,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser19,fundraiser19
user-account-fundraiser-20,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser20,fundraiser20
user-account-fundraiser-21,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",fundraiser21,fundraiser21
user-account-sponsor-00,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor0,sponsor0
user-account-sponsor-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor9,sponsor9
user-account-sponsor-10,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor10,sponsor10
user-account-sponsor-11,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor11,sponsor11
user-account-sponsor-12,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor12,sponsor12
user-account-sponsor-13,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor13,sponsor13
user-account-sponsor-14,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor14,sponsor14
user-account-sponsor-15,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor15,sponsor15
user-account-sponsor-16,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor16,sponsor16
user-account-sponsor-17,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor17,sponsor17
user-account-sponsor-18,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor18,sponsor18
user-account-sponsor-19,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor19,sponsor19
user-account-sponsor-20,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor20,sponsor20
user-account-sponsor-21,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",sponsor21,sponsor21
user-account-manager-00,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager0,manager0
user-account-manager-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager3,manager3
user-account-manager-04,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager4,manager4
user-account-manager-05,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager5,manager5
user-account-manager-06,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager6,manager6
user-account-manager-07,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager7,manager7
user-account-manager-08,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager8,manager8
user-account-manager-09,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager9,manager9
user-account-manager-10,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager10,manager10
user-account-manager-11,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager11,manager11
user-account-manager-12,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager12,manager12
user-account-manager-13,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager13,manager13
user-account-manager-14,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager14,manager14
user-account-manager-15,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager15,manager15
user-account-manager-16,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager16,manager16
user-account-manager-17,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager17,manager17
user-account-manager-18,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager18,manager18
user-account-manager-19,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager19,manager19
user-account-manager-20,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager20,manager20
user-account-manager-21,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",manager21,manager21
user-account-spokesperson-00,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson0,spokesperson0
user-account-spokesperson-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson1,spokesperson1
user-account-spokesperson-02,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson2,spokesperson2
user-account-spokesperson-03,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson3,spokesperson3
user-account-spokesperson-04,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson4,spokesperson4
user-account-spokesperson-05,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson5,spokesperson5
user-account-spokesperson-06,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson6,spokesperson6
user-account-spokesperson-07,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson7,spokesperson7
user-account-spokesperson-08,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson8,spokesperson8
user-account-spokesperson-09,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson9,spokesperson9
user-account-spokesperson-10,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson10,spokesperson10
user-account-spokesperson-11,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson11,spokesperson11
user-account-spokesperson-12,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson12,spokesperson12
user-account-spokesperson-13,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson13,spokesperson13
user-account-spokesperson-14,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson14,spokesperson14
user-account-spokesperson-15,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson15,spokesperson15
user-account-spokesperson-16,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",spokesperson16,spokesperson16
